Cafe Melba ,90 Goodman Road #01-56 (Block N @ Goodman Arts Centre)
The Humble Loaf ,865 Mountbatten Road #B1-92 (Katong Shopping Centre)
Penny University ,402 East Coast Road
Oh Deli ,421 East Coast Road
British Hainan ,75 Carpmael Road
DZerts Cafe ,30 Jalan Pari Burong (Simpang Bedok)
To-gather Cafe ,84 Bedok North Street 4 #01-27
Milk and Honey Gelato ,Bedok North Street 4 #01-179
Sugarcraft Atelier ,212 Changi Road
Rice & Fries ,484 Changi Road
Doggiestyle Cafe ,496 Changi Road
The Garden Slug ,Lorong L Telok Kurau #01-59/61 (Bright Centre)
1TwentySix ,902 East Coast ParkwayBlk E #01-26 (Playground @ Big Splash)
Chock Full Of Beans ,Changi Village Road #01-2090
Eggs & Berries ,5 Changi Business Park Central 1#01-37/38 (Changi City Point)
The Coastal Settlement ,Netheravon Road
The Orange Thimble ,Eng Hoon Street #01-68
Caffe Pralet ,17 Eng Hoon Street #01-03/04 (Eng Hoon Mansions)
Drips Bakery Cafe ,Tiong Poh Road #01-05
Flock Cafe ,Moh Guan Terrace #01-25
Forty Hands ,Yong Siak Street #01-12
Open Door Policy ,Yong Siak Street
PoTeaTo ,78 Yong Siak Street
Tiong Bahru Bakery ,Eng Hoon Street#01-70
The Dispensary ,69 Tiong Bahru Road
The Providore Warehouse ,Outram Road 05-03 (Tan Boon Liat Building)
Workshop ,121 Bukit Merah Lane 1 #01-06
Pan Delights ,161 Bukit Merah Central, #01-3725
The Bakery Chef ,161 Bukit Merah Central #01-3711
Butterscotch Cafe ,Bukit Merah Central #01-3625
Artisan Boulangerie ,Kim Seng Promenade #01-23 (Great World City)
OKB ,1 Kampong Bahru Rd
Strangers Reunion ,37 Kampong Bahru Road
Highlander Coffee ,49 Kampong Bahru Road
Just Want Coffee ,Everton Park
Audacious Cakery ,2 Everton Park #01-61
Grin Affair ,3 Everton Park #01-77A
The Provision Shop ,3 Everton Park #01-79
Nylon Coffee Roasters ,4 Everton Park #01-40
Cozy Coffee Corner ,4 Everton Park #01-50
Mapleloft Cafe ,101 Cantonment Road #01-02 (Tanjong Pagar Community Club)
Oriole Coffee Roasters ,10 Jiak Chuan Road
The Reading Room ,19 Bukit Pasoh Road
Selfish Gene Cafe ,40 Craig Road
The Plain ,50 Craig Road
Department of Caffeine ,15 Duxton Road
Group Therapy Cafe ,49 Duxton Road
Flor Patisserie ,2 Duxton Hill #01-01
Bistro Soori ,2 Teck Lim Road
Glck Bistro Express ,Teck Lim Road
Antoniette ,33 Erskine Road #01-02/03 (Scarlet Hotel)
The Loft Cafe ,South Bridge Road
Coffee Tea & Company ,New Bridge Road #B1-44 (Chinatown Point)
RONIN ,17 Hong Kong Street
Cafe Gavroche ,69 Tras Street
Kiasu Espresso,100 Tras Street #01-03/04(100 AM)
Okada Coffee ,Tras Street #03-23 (100 AM)
Cake Spade ,1 Tras Link #01-06 (Orchid Hotel)
SPRMRKT ,McCallum Street
6oz Espresso Bar ,McCallum Street #01-K1 (Tokio Marine Centre)
PS Cafe ,Ann Siang Road#02-02
Quarter to Three ,88 Tanjong Pagar Road
Drury Lane Cafe ,Tanjong Pagar Road
ReStore Cafe ,Tanjong Pagar Road
Artease ,1 Tanjong Pagar Plaza #01-35
Jamaica Blue ,1 Raffles Place #01-62 (One Raffles Place Tower 2)
Club Street Social ,5 Gemmill Lane
Shots Cafe ,90 Club Street
The Muffinry ,112 Telok Ayer Street
Sarnies Cafe ,136 Telok Ayer Street
Sophie Bakery ,167 Telok Ayer Street
Coffeesmith ,62 Collyer Quay #02-11
Jewel Coffee ,1 Shenton Way #01-07
8 Stanley Street ,Stanley Street
