marina,CityLink Mall,039393,"1 Raffles Link
#B1-01/02 CityLink Mall
Singapore 039393
Tel: 6884 9141","Mon - Fri
Sat, Sun & PH
Peak Hours
Everyday","0700 - 2300 hrs
0900 - 2300 hrs
1200 - 2000 hrs"
marina,Marina Square,039594,"No 6 Raffles Boulevard
#03-217/218 Marina Square
Singapore 039594
Tel: 6339 7482","Sun - Thu
Fri, Sat & Eve of PH
Peak Hours
Mon - Thu
Fri, Sat & Sun","0900 - 2230 hrs
0900 - 0000 hrs
0900 - 2230 hrs
0900 - 2230 hrs"
marina,Millenia Walk,039596,"9 Raffles Boulevard
#01 - K5 Millenia Walk
Singapore 039596
Tel: 6338 9721","Mon - Fri & Eve of PH
Sat, Sun & PH
Peak Hours
Mon - Fri
Sat & Sun","0700 - 2200 hrs
0800 - 2200 hrs
1200 - 1800 hrs
1100 - 1800 hrs"
marina,One Fullerton,049213,"#01-04 One Fullerton
1 Fullerton Road
Singapore 049213
Tel: 6327 9245","Mon - Thu
Fri & Eve of PH
Sat
Sun & PH
Peak Hours
Fri
Sat
Sun","0730 - 2330 hrs
0730 - 0030 hrs
0800 - 0030 hrs
0800 - 2330 hrs
1200 - 0100 hrs
1100 - 0100 hrs
1200 - 0000 hrs"
marina,One Fullerton Kiosk,049275,"3 Fullerton Road
#01-04A
Singapore 049275
Tel: 6536 5629","Sun - Thu & PH
Fri, Sat & Eve of PH","0830 – 2200 hrs
0830 – 2300 hrs"
marina,Raffles City,179103,"252 North Bridge Road
#01-46 / 47 / 48
Raffles City Shopping Centre
Singapore 179103
Tel: 6333 3083",Everyday,24 hrs
marina,Raffles Hospital,166770,"585 North Bridge Road,
#01-18, Raffles Hospital
Singapore 166770
Tel: 6294 8759","Mon – Fri
Sat, Sun & Eve of PH","0730 – 2200 hrs
0800 – 2200 hrs"
marina,Shaw Tower,189702,"100 Beach Road
#01-57/60
Shaw Leisure Gallery
Singapore 189702
Tel: 6392 9327","Mon - Thu & Sun
Fri
Sat & Eve of PH
Peak Hours
Mon - Fri
Sat & Sun","0730 - 2230 hrs
0730 - 2300 hrs
0800 - 2300 hrs
1200 - 1800 hrs
1200 - 1900 hrs"
marina,Suntec City Mall,038983,"3 Temasek Boulevard
#02-393/394
Suntec City Mall
Singapore 038983
Tel: 6835 9260","Mon - Fri
Sat, Sun
                              & Eve of PH","0730 - 2300 hrs
0730 - 2330 hrs"
marina,The Concourse,199555,"300 Beach Road
1st Storey Lobby
The Concourse
Singapore 199555
Tel: 6298 2087","Mon - Fri
Sat
Sun & PH
Peak Hours
Mon - Fri","0730 - 2100 hrs
0900 - 1800 hrs
CLOSED
1200 - 1530 hrs"
marina,The Fullerton Waterboat House,049215,"3 Fullerton Road
#02-01/02/03
Fullerton Waterboat House
Singapore 049215
Tel: 6536 0849","Sun - Thurs
Fri, Sat & Eve of PH","0800 - 2300 hrs
0800 - 0000 hrs"
marina,The Gateway,189720,"150 Beach Road #01-01
The Gateway West
Singapore 189720
Tel: 6396 7907","Mon - Fri
Sat
Sun & PH
Peak Hours
Mon - Fri
Mon - Fri","0700 - 2100 hrs
0800 - 1500 hrs
CLOSED
0800 - 1100 hrs
1500 - 1700 hrs"
north,Bishan Community Club,,"Bishan Community Club
51 Bishan Street 13 #01-02
Tel: 6259 7246",Mon - Sun,0800-2300 hrs
north,Compass Point,545078,"No. 1 Sengkang Square #01-13
Compass Point
Singapore 545078
Tel: 6315 9530","Mon -Thu
Fri
Sat
Sun
Peak Hours
Mon - Fri
Sat, Sun & PH","0730 - 2300 hrs
0730 - 0000 hrs
0800 - 0000 hrs
0800 - 2300 hrs
1400 hrs till Closing
All day"
north,Hougang Mall,538766,"90 Hougang Avenue 10,
#02-11/19, Hougang Mall
Singapore 538766
Tel: 6343 7416",Mon - Sun,0800-2300 hrs
north,Mt Elizabeth Novena Hospital,329563,"38 Irrawaddy Road
#01-14 Mount Elizabeth Novena Hospital
Singapore 329563
Tel: 6570 2945","Mon - Sat
Sun and PH","0730-1900 hrs
Closed"
north,NEX,556083,"23 Serangoon Central
#02-K01/02
Singapore 556083
Tel: 
                              66344650","Sun - Thu
Fri & Sat
Peak Hours
Mon - Thu
Fri - Sun, Eve of PH & PH","0800 - 2200 hrs
0800 - 2330 hrs
1200 - 1800 hrs
All day"
north,Northpoint,769098,"930 Yishun Ave 2
#01-07/08 Northpoint
Singapore 769098
Tel: 6482 3541","Everyday
Peak Hours
Mon - Fri
Sat, Sun & PH","24 hrs
1200 - 0000 hrs
All day"
north,Novena Square (office tower),307683,"238 Thomson Rd
Novena Square #02-K7/K8
Singapore 307683
Tel: 62592097","Mon - Fri
Sat, Sun & PH
Peak Hours
Mon - Fri","0700 - 2200 hrs
0800 - 2200 hrs
0900 - 1700 hrs"
north,Thomson Plaza,574408,"301 Upper Thomson Road
#01-37A Thomson Plaza
Singapore 574408
Tel: 6459 5865","Mon - Thu, Sun & PH
Fri, Sat & Eve of PH
Peak Hours
Mon - Thu
Mon - Thu
Fri - Sun
Fri - Sun","0730 - 2300 hrs
0730 - 0000 hrs
1200 - 1400 hrs
1800 - 2100 hrs
1100 - 1600 hrs
1800 - 2200 hrs"
north,Toa Payoh HDB Hub,310490,"Block 490, Lorong 6 Toa Payoh #01-14
Singapore 310490
Tel: 6258 7613","Sun - Thurs
Fri, Sat & Eve of PH","0700 - 2230 hrs
0700 - 2300 hrs"
north,United Square,307591,"101 Thomson Road
#01-01 United Square
Singapore 307591
Tel: 6252 4731","Everyday
Peak Hours
Mon – Fri  1130 – 1800
Mon – Fri: 2100 – 2300
Sat, Sun & PH: All Day","24 hrs
0900 - 1800 hrs"
north,Woodlands Civic Centre,730900,"900 South Woodlands Drive #02-09
Woodlands Civic Centre
Singapore 730900
Tel: 6269 2769","Mon - Fri
Sat, Sun & PH
Peak Hours
Mon - Fri
Sat, Sun & PH","0730 - 2300 hrs
0800 - 2300 hrs
1130 - 2100 hrs
All day"
north,Woodlands Exchange,738343,"30 Woodlands Avenue 2 #01-7/8/15
Singapore 738343
Tel: 6365 1500",Mon - Sun,0700 - 2300 hrs
south,Great World City,237994,"1 Kim Seng Promenade
#02-21A/B/C
Great World City
Singapore 237994
Tel: 6732 3061","Mon - Thu & Sun
Fri, Sat & Eve of PH
Peak Hours
Mon - Fri
Sat, Sun & PH","0730 - 2230 hrs
0730 - 0000 hrs
1100 - 2000 hrs
1000 - 2000 hrs"
south,Harbourfront Centre,099253,"1 Maritime Square
#01-76/77
Harbourfront Centre
Singapore 099253
Tel: 6274 1914","Mon - Fri
Sat, Sun & PH
Peak Hours
Mon - Fri
Sat, Sun & PH","0700 - 2200 hrs
0730 - 2200 hrs
1200 - 1700 hrs
1400 - 1900 hrs"
south,Holland Village,278983,"255 Holland Avenue
Singapore 278983
Tel: 6463 9320","Mon - Thu & Sun
Fri, Sat & Eve of PH
Peak Hours
Mon - Fri
Sat, Sun & PH","0730 - 2300 hrs
24 hrs
1300 - 1900
                            hrs
All day"
south,Liang Court,179030,"117 River Valley Road
#01-13 Liang Court
Singapore 179030
Tel: 6338 1461","Mon - Thu, Sun & PH
Fri, & Eve of PH
Sat
Peak Hours
Mon - Fri
Sat & Sun","0730 - 2230 hrs
0730 - 0000 hrs
24 hrs
1300 - 1400 hrs
2000 - 2200 hrs"
south,Mapletree Business City,117439,"20 Pasir Panjang Road
Mapletree Business City #02-11
Singapore 117439
Tel: 6570 8936","Mon - Fri
Sat, Sun & PH
Peak Hours
Everyday
Everyday","0730 - 1900 hrs
CLOSED
0800 - 1030 hrs
1400 - 1630 hrs"
south,"Resorts World at Sentosa
(Starbucks Reserve Store)",098138,"26 Sentosa Gateway #01-202
Singapore 098138
Tel: 6884 6765","Sun – Thu
Fri – Sat","0800 – 2230 hrs
0800 – 0100 hrs"
south,Samsung @ MBC,117440,"30 Pasir Panjang Road
#17-31/32
Mapletree Business City
Singapore 117440
Tel: 6570 4620",Mon - Fri,0730 - 1800 hrs
south,Sentosa (Imbiah Lookout),,"42    Imbiah Road #01-K1
S'pore 099701
Tel: 6276 0136",Everyday,0900 - 2100 hrs
south,The Central,059817,"6 Eu Tong Sen Street
#01-29 The Central
Singapore 059817
Tel: 6534 7748","Sun - Thu
Fri & Sat
Peak Hours
Mon - Fri
Wed - Fri
Sat
Sun","0730 - 0000 hrs
24 hrs
0800 - 1500 hrs
0800 - 2330 hrs
1600 - 2330 hrs
1500 - 1800 hrs"
